gnuplot> fit g(x) 'function4.txt' using 1:2 via c
iter      chisq       delta/lim  lambda   c
   0 3.3991225818e+20   0.00e+00  5.83e+08    1.010601e+03
   1 3.3923651965e+14  -1.00e+11  5.83e+07    1.035525e+00
   2 3.0677028901e+09  -1.11e+10  5.83e+06    2.596954e-02
   3 3.0676689674e+09  -1.11e+00  5.83e+05    2.595945e-02
   4 3.0676689674e+09   0.00e+00  5.83e+04    2.595945e-02
iter      chisq       delta/lim  lambda   c

After 4 iterations the fit converged.
final sum of squares of residuals : 3.06767e+09
rel. change during last iteration : 0

degrees of freedom    (FIT_NDF)                        : 999
rms of residuals      (FIT_STDFIT) = sqrt(WSSR/ndf)    : 1752.35
variance of residuals (reduced chisquare) = WSSR/ndf   : 3.07074e+06

Final set of parameters            Asymptotic Standard Error
=======================            ==========================
c               = 0.0259594        +/- 9.605e-05    (0.37%)

2 4
1002 26
2002 48
3002 73
4002 92
5002 115
6002 136
7002 164
8002 182
9002 204
10002 235
11002 264
12002 277
13002 306
14002 323
15002 507
16002 591
17002 458
18002 428
19002 679
20002 573
21002 589
22002 554
23002 594
24002 627
25002 592
26002 604
27002 925
28002 685
29002 679
30002 695
31002 783
32002 753
33002 749
34002 824
35002 801
36002 821
37002 855
38002 899
39002 959
40002 928
41002 920
42002 990
43002 993
44002 1016
45002 978
46002 1017
47002 1047
48002 1013
49002 1090
50002 1051
51002 1099
52002 1039
53002 1067
54002 1091
55002 1081
56002 1101
57002 1119
58002 1152
59002 1192
60002 1196
61002 1212
62002 1246
63002 1219
64002 1187
65002 1114
66002 1131
67002 1157
68002 1287
69002 1189
70002 1205
71002 1234
72002 1250
73002 1277
74002 1268
75002 1330
76002 1315
77002 1372
78002 1353
79002 1378
80002 1407
81002 1485
82002 1384
83002 1407
84002 1463
85002 1741
86002 1449
87002 1535
88002 1571
89002 1544
90002 1534
91002 1563
92002 1887
93002 1596
94002 1663
95002 1739
96002 1631
97002 2103
98002 1881
99002 1864
100002 1913
101002 2193
102002 2266
103002 2111
104002 2240
105002 2276
106002 2618
107002 2389
108002 2420
109002 2344
110002 2789
111002 2722
112002 2637
113002 2549
114002 2629
115002 2563
116002 2574
117002 2481
118002 2469
119002 2600
120002 2444
121002 2450
122002 2375
123002 2429
124002 2172
125002 2187
126002 2283
127002 2181
128002 2397
129002 2203
130002 2271
131002 2446
132002 2318
133002 2418
134002 2310
135002 2515
136002 2548
137002 2490
138002 2846
139002 2774
140002 2914
141002 3530
142002 4258
143002 4035
144002 3299
145002 3190
146002 3160
147002 3123
148002 3044
149002 3071
150002 2978
151002 2705
152002 2690
153002 3053
154002 3467
155002 2800
156002 2815
157002 2804
158002 2821
159002 2883
160002 2838
161002 2888
162002 2932
163002 2988
164002 2970
165002 2954
166002 3066
167002 2949
168002 3062
169002 3026
170002 3400
171002 3099
172002 3186
173002 3151
174002 3115
175002 3289
176002 3058
177002 3224
178002 3210
179002 3240
180002 3347
181002 3279
182002 3589
183002 3298
184002 3386
185002 3381
186002 3307
187002 3758
188002 3442
189002 3421
190002 3445
191002 3464
192002 3469
193002 3612
194002 3468
195002 3577
196002 3675
