gnuplot> fit g(x) 'function5.txt' using 1:2 via c
iter      chisq       delta/lim  lambda   c
   0 7.5087668436e+08   0.00e+00  2.13e+04    2.156534e+03
   * 7.5087668436e+08   1.59e-11  2.13e+05    2.156534e+03
   * 7.5087668436e+08   1.59e-11  2.13e+06    2.156534e+03
   1 7.5087668436e+08   0.00e+00  2.13e+05    2.156534e+03
iter      chisq       delta/lim  lambda   c

After 1 iterations the fit converged.
final sum of squares of residuals : 7.50877e+08
rel. change during last iteration : 0

degrees of freedom    (FIT_NDF)                        : 999
rms of residuals      (FIT_STDFIT) = sqrt(WSSR/ndf)    : 866.965
variance of residuals (reduced chisquare) = WSSR/ndf   : 751628

Final set of parameters            Asymptotic Standard Error
=======================            ==========================
c               = 2156.53          +/- 2.778        (0.1288%)

1 3976
51 13108
101 13131
151 11585
201 12591
251 12545
301 12393
351 12409
401 14094
451 14127
501 14071
551 13990
601 14073
651 13907
701 13950
751 14339
801 18355
851 18589
901 16007
951 15136
1001 15321
1051 15371
1101 15534
1151 15219
1201 15299
1251 15564
1301 15525
1351 15234
1401 15555
1451 15263
1501 15717
1551 17328
1601 19534
1651 19018
1701 16731
1751 16914
1801 16922
1851 16890
1901 19604
1951 19886
2001 19673
2051 19289
2101 16988
2151 16923
2201 16762
2251 16892
2301 16776
2351 16577
2401 16765
2451 19344
2501 18660
2551 16990
2601 16972
2651 16679
2701 16825
2751 17025
2801 16761
2851 16852
2901 16409
2951 17066
3001 16404
3051 17073
3101 17766
3151 18137
3201 18093
3251 18664
3301 18474
3351 18441
3401 18588
3451 18248
3501 18209
3551 17837
3601 18314
3651 18320
3701 18219
3751 18223
3801 18101
3851 18138
3901 18041
3951 18123
4001 18224
4051 18003
4101 17975
4151 18491
4201 18220
4251 18193
4301 18355
4351 17985
4401 18162
4451 18212
4501 18204
4551 17812
4601 17796
4651 17973
4701 18232
4751 18040
4801 18260
4851 18068
4901 18297
4951 18063
5001 17880
5051 18484
5101 18027
5151 18341
5201 18291
5251 20780
5301 18553
5351 17966
5401 17661
5451 17924
5501 18015
5551 18147
5601 18371
5651 18215
5701 17759
5751 18006
5801 18099
5851 18073
5901 17971
5951 18140
6001 18503
6051 18049
6101 17813
6151 19619
6201 19593
6251 19213
6301 19540
6351 19188
6401 19691
6451 19610
6501 19346
6551 19482
6601 19596
6651 19868
6701 20085
6751 19388
6801 19445
6851 19493
6901 19821
6951 19454
7001 19554
7051 19505
7101 19689
7151 19484
7201 19398
7251 19791
7301 19591
7351 19923
7401 19266
7451 19555
7501 19406
7551 19623
7601 19396
7651 19531
7701 19678
7751 19521
7801 19685
7851 21575
7901 21193
7951 19929
8001 19469
8051 19416
8101 19654
8151 19597
8201 19523
8251 19438
8301 19340
8351 19448
8401 19540
8451 19407
8501 19243
8551 19995
8601 19393
8651 19808
8701 19239
8751 19608
8801 19118
8851 19354
8901 19528
8951 19567
9001 19440
9051 19678
9101 19613
9151 19675
9201 19247
9251 18957
9301 19254
9351 19571
9401 20078
9451 19771
9501 19813
9551 19523
9601 19507
9651 19306
9701 19195
9751 19369
9801 19504
9851 19430
9901 19779
9951 19469
10001 19447
10051 19615
10101 19656
10151 19453
10201 19472
10251 19633
10301 19783
10351 19775
10401 22675
10451 22758
10501 19807
10551 19467
10601 19515
10651 19735
10701 19607
10751 19767
10801 19277
10851 19941
10901 19630
10951 19519
11001 19779
11051 19716
11101 19485
11151 19748
11201 19259
11251 19508
11301 19455
11351 19717
11401 19681
11451 19556
11501 19733
11551 19874
11601 19571
11651 19389
11701 19609
11751 19260
11801 19388
11851 19495
11901 19900
11951 19786
12001 20036
12051 19356
12101 19410
12151 19295
12201 19072
12251 18901
12301 20806
12351 20659
12401 20823
12451 21291
12501 20770
12551 20993
12601 20638
12651 20883
12701 20963
12751 21238
12801 21258
12851 21070
12901 23928
12951 23784
13001 20909
13051 20906
13101 21062
13151 20984
13201 21048
13251 20984
13301 21301
13351 20726
13401 20988
13451 20799
13501 20855
13551 21044
13601 21434
13651 20739
13701 20939
13751 20752
13801 21208
13851 20850
13901 20791
13951 20830
14001 21037
14051 21103
14101 21015
14151 20925
14201 20545
14251 21075
14301 20551
14351 20560
14401 20894
14451 21097
14501 20995
14551 20816
14601 20834
14651 20664
14701 20990
14751 21044
14801 21769
14851 20962
14901 20979
14951 20927
15001 20741
15051 20572
15101 20639
15151 21154
15201 21249
15251 21364
15301 24977
15351 21523
15401 21107
15451 20887
15501 21011
15551 20813
15601 21112
15651 20978
15701 20851
15751 20895
15801 23823
15851 22424
15901 21399
15951 21194
16001 20818
16051 21239
16101 20938
16151 20870
16201 20856
16251 20846
16301 20958
16351 20926
16401 21016
16451 20881
16501 20853
16551 20721
16601 21770
16651 21020
16701 21427
16751 21367
16801 20919
16851 20892
16901 20971
16951 20820
17001 20884
17051 20784
17101 21101
17151 20893
17201 20992
17251 20560
17301 21131
17351 20840
17401 20804
17451 20568
17501 21350
17551 21073
17601 21371
17651 24793
17701 22934
17751 21344
17801 20796
17851 21049
17901 20985
17951 20745
18001 21107
18051 20929
18101 20800
18151 20877
18201 21110
18251 20683
18301 20809
18351 20735
18401 20969
18451 20949
18501 21085
18551 20794
18601 20785
18651 21292
18701 21149
18751 21264
18801 21297
18851 21065
18901 21104
18951 21018
19001 21028
19051 20890
19101 21347
19151 21240
19201 21195
19251 20743
19301 20630
19351 21407
19401 20975
19451 21205
19501 20874
19551 21000
19601 21274
19651 20864
19701 20982
19751 20703
19801 20802
19851 20977
19901 21087
19951 20704
20001 24018
20051 24383
20101 21025
20151 21080
20201 20951
20251 21133
20301 21202
20351 21007
20401 21114
20451 21151
20501 20982
20551 21129
20601 20924
20651 21158
20701 21275
20751 20645
20801 20888
20851 20887
20901 20896
20951 20667
21001 21147
21051 21335
21101 21101
21151 20984
21201 21098
21251 20959
21301 20758
21351 20695
21401 20930
21451 21333
21501 21137
21551 20808
21601 20956
21651 20698
21701 20951
21751 20927
21801 21114
21851 20984
21901 20683
21951 21337
22001 21150
22051 20889
22101 20660
22151 21173
22201 21097
22251 21270
22301 21094
22351 22221
22401 25639
22451 21191
22501 20941
22551 21154
22601 20876
22651 20932
22701 21108
22751 21011
22801 21382
22851 22304
22901 21059
22951 21230
23001 21555
23051 21509
23101 20999
23151 21283
23201 21243
23251 21039
23301 21030
23351 21101
23401 21093
23451 21321
23501 21832
23551 21014
23601 20790
23651 20675
23701 21143
23751 21140
23801 21048
23851 20854
23901 20769
23951 21114
24001 20887
24051 21044
24101 20965
24151 20762
24201 21122
24251 21270
24301 21206
24351 23692
24401 22444
24451 20997
24501 20896
24551 21565
24601 23003
24651 22451
24701 25397
24751 24944
24801 22497
24851 22530
24901 22431
24951 22463
25001 22400
25051 22535
25101 22631
25151 22350
25201 22392
25251 22542
25301 22295
25351 22816
25401 22467
25451 22441
25501 22318
25551 22041
25601 22378
25651 22325
25701 22310
25751 22498
25801 22636
25851 22246
25901 22536
25951 22471
26001 22350
26051 22310
26101 22360
26151 22226
26201 25033
26251 25095
26301 22398
26351 22273
26401 22702
26451 22250
26501 22450
26551 22148
26601 22313
26651 22389
26701 22543
26751 22351
26801 22400
26851 22428
26901 25623
26951 23074
27001 22385
27051 22478
27101 22454
27151 22477
27201 22944
27251 22196
27301 22342
27351 22208
27401 22284
27451 22381
27501 22471
27551 22830
27601 21910
27651 22119
27701 22299
27751 22376
27801 22238
27851 22187
27901 21923
27951 22538
28001 22590
28051 22375
28101 22509
28151 22617
28201 22493
28251 22632
28301 22864
28351 22600
28401 22511
28451 22264
28501 22084
28551 22252
28601 22330
28651 21942
28701 22280
28751 22529
28801 22241
28851 22311
28901 22265
28951 22248
29001 22011
29051 24635
29101 24113
29151 25662
29201 22406
29251 22329
29301 22378
29351 22517
29401 22656
29451 22235
29501 22104
29551 22583
29601 22244
29651 22168
29701 22335
29751 22343
29801 22406
29851 21984
29901 22222
29951 22187
30001 22280
30051 22254
30101 22316
30151 22645
30201 22459
30251 22266
30301 23312
30351 22832
30401 22543
30451 22289
30501 23101
30551 22449
30601 22699
30651 22188
30701 22440
30751 22439
30801 21839
30851 22654
30901 22101
30951 22760
31001 22232
31051 22527
31101 22450
31151 22320
31201 22376
31251 22576
31301 22340
31351 25610
31401 22610
31451 22557
31501 22205
31551 22324
31601 22436
31651 22282
31701 22429
31751 22352
31801 22410
31851 22281
31901 22050
31951 22246
32001 22582
32051 22300
32101 22300
32151 22225
32201 22226
32251 22106
32301 22182
32351 22175
32401 21914
32451 22832
32501 22366
32551 22420
32601 22333
32651 22221
32701 22514
32751 22803
32801 22097
32851 22319
32901 22263
32951 22053
33001 22069
33051 22018
33101 22317
33151 22419
33201 22202
33251 22349
33301 22121
33351 22335
33401 22114
33451 22247
33501 22517
33551 22192
33601 26444
33651 22667
33701 22508
33751 22260
33801 22515
33851 22533
33901 22753
33951 22230
34001 22504
34051 22124
34101 22453
34151 22426
34201 21835
34251 22516
34301 22406
34351 22540
34401 22182
34451 22143
34501 22434
34551 22499
34601 22250
34651 22567
34701 23007
34751 23127
34801 22569
34851 22532
34901 21528
34951 22529
35001 22451
35051 22171
35101 22352
35151 22154
35201 22308
35251 22231
35301 22344
35351 22347
35401 22443
35451 22247
35501 22508
35551 22354
35601 22266
35651 22441
35701 22651
35751 22522
35801 25722
35851 24814
35901 21745
35951 22309
36001 22485
36051 22452
36101 22403
36151 22328
36201 22439
36251 22234
36301 22283
36351 22295
36401 22608
36451 22609
36501 22352
36551 21964
36601 22181
36651 22514
36701 22259
36751 22488
36801 21990
36851 21980
36901 22630
36951 22482
37001 22236
37051 22234
37101 22177
37151 22133
37201 22627
37251 22272
37301 22297
37351 22286
37401 22237
37451 22591
37501 22157
37551 22694
37601 22756
37651 22358
37701 22743
37751 22339
37801 22581
37851 22382
37901 25469
37951 24037
38001 26509
38051 26719
38101 23088
38151 22564
38201 22822
38251 22978
38301 22314
38351 22084
38401 22590
38451 22694
38501 22557
38551 22412
38601 24123
38651 23952
38701 23030
38751 22585
38801 22338
38851 22701
38901 22678
38951 22593
39001 22603
39051 22146
39101 22143
39151 22252
39201 22216
39251 22548
39301 22641
39351 22613
39401 22454
39451 22358
39501 22365
39551 22366
39601 22536
39651 22278
39701 22636
39751 22025
39801 22466
39851 22551
39901 22368
39951 22278
40001 22702
40051 22251
40101 22731
40151 21842
40201 23904
40251 25851
40301 22264
40351 22407
40401 22381
40451 22190
40501 22463
40551 22344
40601 22464
40651 22399
40701 22070
40751 22443
40801 22620
40851 22920
40901 22127
40951 22094
41001 22275
41051 22245
41101 21947
41151 22202
41201 22372
41251 22350
41301 22734
41351 22259
41401 22024
41451 22404
41501 22960
41551 22249
41601 22359
41651 22358
41701 22215
41751 22067
41801 22339
41851 22361
41901 22115
41951 22527
42001 22544
42051 22580
42101 22283
42151 22169
42201 22491
42251 22875
42301 22608
42351 22769
42401 22491
42451 26123
42501 23036
42551 22283
42601 22315
42651 22497
42701 22289
42751 22396
42801 21995
42851 21836
42901 22022
42951 22100
43001 22614
43051 22522
43101 22389
43151 22415
43201 22474
43251 22234
43301 22311
43351 22318
43401 22609
43451 22522
43501 22418
43551 21970
43601 22245
43651 22801
43701 24673
43751 22239
43801 22570
43851 22332
43901 22158
43951 22411
44001 21883
44051 22686
44101 22250
44151 22621
44201 22436
44251 22300
44301 22212
44351 22275
44401 22557
44451 22566
44501 22757
44551 22717
44601 22232
44651 25023
44701 25287
44751 22454
44801 22586
44851 22560
44901 22670
44951 22561
45001 22440
45051 22095
45101 22424
45151 22267
45201 22713
45251 22637
45301 22859
45351 22716
45401 22418
45451 22365
45501 22463
45551 22377
45601 22446
45651 23416
45701 22452
45751 22277
45801 23057
45851 22498
45901 22583
45951 22759
46001 22451
46051 22121
46101 22757
46151 22314
46201 22454
46251 22328
46301 22231
46351 22164
46401 21953
46451 22161
46501 23840
46551 25060
46601 22077
46651 22195
46701 22380
46751 22475
46801 22337
46851 24476
46901 25388
46951 22319
47001 22415
47051 22464
47101 22460
47151 22087
47201 21955
47251 22285
47301 22050
47351 22459
47401 22030
47451 22746
47501 22881
47551 22398
47601 22181
47651 22204
47701 22002
47751 21956
47801 22372
47851 22238
47901 22170
47951 22208
48001 22401
48051 22203
48101 22153
48151 22452
48201 22243
48251 22854
48301 22361
48351 23735
48401 24041
48451 23003
48501 22295
48551 21931
48601 22644
48651 21866
48701 22087
48751 22185
48801 22364
48851 22190
48901 22573
48951 22519
49001 22199
49051 22427
49101 25451
49151 23877
49201 23324
49251 23952
49301 23730
49351 24026
49401 23487
49451 23761
49501 23768
49551 23667
49601 23565
49651 23806
49701 23906
49751 24362
49801 23756
49851 23678
49901 23584
49951 23533
